year,supply_scenario,allocation_scenario,combined_scenario,largest_frontier_run_flop,frontier_run_share_of_total_compute,training_compute_flop_year,frontier_lab_training_compute_flop_year
2034,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.9904758219068835e+28,0.0035156807999999996,8.379327885575356e+29,4.441043779354939e+29
2034,base_input_case,allocation_training_race,base_input_case × allocation_training_race,2.1857001206048728e+29,0.038604959999999994,1.8796870662236611e+30,1.2781872050320895e+30
2034,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,5.233048792366672e+28,0.00924288,1.0870479419124787e+30,6.304878063092376e+29
2035,base_input_case,allocation_base,base_input_case × allocation_base,5.583714013005552e+28,0.00792421875,1.4797420158689662e+30,8.508516591246555e+29
2035,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,2.1363775354108205e+28,0.0030318750000000007,9.864946772459776e+29,5.1790970555413826e+29
2035,base_input_case,allocation_training_race,base_input_case × allocation_training_race,2.6489694180954286e+29,0.03759328124999999,2.360540834838589e+30,1.5933650635160475e+30
2035,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,6.033449889971441e+28,0.008562468749999998,1.3388142048338267e+30,7.698181677794503e+29
2036,base_input_case,allocation_base,base_input_case × allocation_base,6.1330416195982535e+28,0.007081452,1.766785244605264e+30,1.0070675894250005e+30
2036,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,2.2423456324684734e+28,0.0025891008000000007,1.1432139818034062e+30,5.944712705377712e+29
2036,base_input_case,allocation_training_race,base_input_case × allocation_training_race,3.167507309738688e+29,0.03657328999999999,2.927320650375388e+30,1.9613048357515102e+30
2036,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,6.849244393489328e+28,0.007908408,1.628213852871518e+30,9.280818961367653e+29
2037,base_input_case,allocation_base,base_input_case × allocation_base,6.563253291946526e+28,0.006289890749999999,2.066052024521113e+30,1.1673193938544289e+30
2037,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,2.280929574064133e+28,0.0021859278,1.2938911668718083e+30,6.663539509389814e+29
2037,base_input_case,allocation_training_race,base_input_case × allocation_training_race,3.709023941445865e+29,0.035545413750000004,3.5582007088974725e+30,2.3662034714168193e+30
2037,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,7.596507822082524e+28,0.00728010975,1.9408367503077124e+30,1.0965727639238576e+30
2038,base_input_case,allocation_base,base_input_case × allocation_base,6.739596154902834e+28,0.0055480320000000005,2.3323630104176474e+30,1.3061232858338825e+30
2038,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,2.212033487256438e+28,0.0018209448,1.409135985460662e+30,7.186593525849376e+29
2038,base_input_case,allocation_training_race,base_input_case × allocation_training_race,4.1921892749246794e+29,0.03451008,4.178817060331618e+30,2.758019259818868e+30
2038,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,8.11102560502841e+28,0.006676992,2.235181218316912e+30,1.2517014822574708e+30
2039,base_input_case,allocation_base,base_input_case × allocation_base,6.864537254940654e+28,0.004854390750000001,2.630204273149955e+30,1.459763371598225e+30
2039,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,2.1108941961002536e+28,0.0014927597999999998,1.5272153844096515e+30,7.71243769126874e+29
2039,base_input_case,allocation_training_race,base_input_case × allocation_training_race,4.732630660931192e+29,0.033467716249999994,4.9068864665754533e+30,3.214010635606922e+30
2039,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,8.623787563421613e+28,0.006098478750000001,2.573640740394042e+30,1.4283706109186933e+30
2040,base_input_case,allocation_base,base_input_case × allocation_base,6.925413711748757e+28,0.0042074999999999994,2.962743833903212e+30,1.6295091086467665e+30
2040,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.9751625559354746e+28,0.0012,1.6459687966128957e+30,8.229843983064478e+29
2040,base_input_case,allocation_training_race,base_input_case × allocation_training_race,5.33602509251943e+29,0.032418749999999996,5.760890788145134e+30,3.744579012294337e+30
2040,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,9.125251008421893e+28,0.005544,2.962743833903212e+30,1.6295091086467665e+30
2024,capex_rich,allocation_base,capex_rich × allocation_base,1.533682318895999e+27,0.0351,1.3108395887999992e+28,8.520457327199995e+27
2024,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,1.0863583092179992e+27,0.024862499999999996,1.3108395887999992e+28,8.520457327199995e+27
2024,capex_rich,allocation_training_race,capex_rich × allocation_training_race,1.743416653103999e+27,0.0399,1.3108395887999992e+28,9.175877121599994e+27
2024,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,1.533682318895999e+27,0.0351,1.3108395887999992e+28,8.520457327199995e+27
2025,capex_rich,allocation_base,capex_rich × allocation_base,4.39210913959125e+27,0.030703750000000005,4.148391159e+28,2.661884327025e+28
2025,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,2.9468199910379996e+27,0.02060022222222222,4.005343187999999e+28,2.5367173523999994e+28
2025,capex_rich,allocation_training_race,capex_rich × allocation_training_race,5.771031976709999e+27,0.04034333333333333,4.3391217869999995e+28,3.0373852508999997e+28
2025,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,4.3287066584941663e+27,0.030260524691358027,4.053025844999999e+28,2.6006915838749997e+28
2026,capex_rich,allocation_base,capex_rich × allocation_base,8.993816067599999e+27,0.026600000000000002,9.467174807999997e+28,5.995877378399998e+28
2026,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,5.683103712273e+27,0.016808277777777783,8.790948035999999e+28,5.4210846222e+28
2026,capex_rich,allocation_training_race,capex_rich × allocation_training_race,1.3790517970319996e+28,0.040786666666666666,1.0368810503999997e+29,7.258167352799997e+28
2026,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,8.743194738026665e+27,0.025858765432098765,9.016356959999998e+28,5.710359407999998e+28
2027,capex_rich,allocation_base,capex_rich × allocation_base,1.6103082769478918e+28,0.022781250000000003,1.9085135134197235e+29,1.1928209458873272e+29
2027,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,9.517120720253022e+27,0.013464000000000002,1.6964564563730873e+29,1.0178738738238526e+29
2027,capex_rich,allocation_training_race,capex_rich × allocation_training_race,2.9143708206776e+28,0.04123,2.1912562561485714e+29,1.533879379304e+29
2027,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,1.546249374298387e+28,0.021875000000000002,1.7671421420552994e+29,1.1044638387845621e+29
2028,capex_rich,allocation_base,capex_rich × allocation_base,2.455488381897718e+28,0.01924000000000001,3.318227543105023e+29,2.046240318248098e+29
2028,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,1.3457610658526685e+28,0.010544722222222223,2.807730998011942e+29,1.637843082173633e+29
2028,capex_rich,allocation_training_race,capex_rich × allocation_training_race,5.3185231722947435e+28,0.04167333333333334,3.9988896032291306e+29,2.7992227222603913e+29
2028,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,2.334229696371904e+28,0.01828987654320988,2.9778965130429693e+29,1.8363695163764977e+29
2029,capex_rich,allocation_base,capex_rich × allocation_base,3.4596804203723246e+28,0.01596875,5.41632942524043e+29,3.294933733687928e+29
2029,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,1.7392435598827602e+28,0.008027777777777778,4.3330635401923434e+29,2.455402672775661e+29
2029,capex_rich,allocation_training_race,capex_rich × allocation_training_race,9.124709638388376e+28,0.04211666666666666,6.860683938637878e+29,4.802478757046514e+29
2029,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,3.2680861254875075e+28,0.015084413580246911,4.694152168541706e+29,2.855609235862871e+29
2030,capex_rich,allocation_base,capex_rich × allocation_base,4.6632886645703165e+28,0.012960000000000003,8.635719749204288e+29,5.1814318495225726e+29
2030,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,2.119529465945328e+28,0.005890500000000002,6.476789811903216e+29,3.562234396546769e+29
2030,capex_rich,allocation_training_race,capex_rich × allocation_training_race,1.5314009688588936e+29,0.042559999999999994,1.1514292998939052e+30,8.060005099257335e+29
2030,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,4.404217072094187e+28,0.01224,7.196433124336907e+29,4.317859874602144e+29
2031,capex_rich,allocation_base,capex_rich × allocation_base,6.216913408872633e+28,0.01183803075,1.2288849120249127e+30,7.31186522654823e+29
2031,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,2.745496841068298e+28,0.0052278798,9.032829267875426e+29,4.922891950992107e+29
2031,capex_rich,allocation_training_race,capex_rich × allocation_training_race,2.1839409833509744e+29,0.04158584625,1.6962813101882344e+30,1.1789155105808228e+30
2031,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,6.0121811825292825e+28,0.011448186749999999,1.0398256947903108e+30,6.186962884002349e+29
2032,capex_rich,allocation_base,capex_rich × allocation_base,7.791987405390105e+28,0.010775052,1.64878380951567e+30,9.727824476142452e+29
2032,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,3.3353195615835357e+28,0.004612204800000002,1.185967301581447e+30,6.404223428539814e+29
2032,capex_rich,allocation_training_race,capex_rich × allocation_training_race,2.9361129883902672e+29,0.04060167,2.3574715872899493e+30,1.626655395230065e+30
2032,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,7.7269645786285205e+28,0.010685136,1.4173755555485585e+30,8.362515777736495e+29
2033,capex_rich,allocation_base,capex_rich × allocation_base,9.378901780049646e+28,0.009769470749999998,2.1312476882854902e+30,1.2467798976470117e+30
2033,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,3.880375914357833e+28,0.0040419678,1.4976335106871013e+30,8.012339282175992e+29
2033,capex_rich,allocation_training_race,capex_rich × allocation_training_race,3.8024433625578046e+29,0.039607898749999995,3.1584706731798484e+30,2.163552411128196e+30
2033,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,9.552440063100513e+28,0.009950235749999998,1.86244167354678e+30,1.0895283790248662e+30
2034,capex_rich,allocation_base,capex_rich × allocation_base,1.0964755574179584e+29,0.008819712,2.685333947438182e+30,1.5574936895141455e+30
2034,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,4.370730092868808e+28,0.0035156808,1.8399510380594947e+30,9.751740501715322e+29
2034,capex_rich,allocation_training_race,capex_rich × allocation_training_race,4.799407853124681e+29,0.03860496,4.127457734025354e+30,2.8066712591372406e+30
2034,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,1.1490842331526583e+29,0.009242879999999998,2.3869635088339394e+30,1.3844388351236847e+30
2035,capex_rich,allocation_base,capex_rich × allocation_base,1.1981228552641413e+29,0.00792421875,3.1751495957310573e+30,1.8257110175453578e+30
2035,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,4.584122228836715e+28,0.0030318750000000007,2.1167663971540384e+30,1.1113023585058703e+30
2035,capex_rich,allocation_training_race,capex_rich × allocation_training_race,5.684013893482925e+29,0.03759328124999999,5.06511959319002e+30,3.4189557254032636e+30
2035,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,1.2946247233343958e+29,0.00856246875,2.8727543961376235e+30,1.6518337777791334e+30
2036,capex_rich,allocation_base,capex_rich × allocation_base,1.219190734283754e+29,0.007081452,3.512202155629746e+30,2.0019552287089554e+30
2036,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,4.457571279854266e+28,0.0025891008000000007,2.2726013948192477e+30,1.1817527253060088e+30
2036,capex_rich,allocation_training_race,capex_rich × allocation_training_race,6.296705292964306e+29,0.03657329,5.819236904915952e+30,3.898888726293688e+30
