year,supply_scenario,allocation_scenario,combined_scenario,usable_compute_flop_year,inference_share,training_share,ai_rnd_experiment_share,post_training_share,safety_eval_share,reserved_idle_fragmented_share,inference_compute_flop_year,training_compute_flop_year,ai_rnd_experiment_compute_flop_year,post_training_compute_flop_year,safety_eval_compute_flop_year,reserved_idle_fragmented_compute_flop_year,frontier_lab_training_share,frontier_lab_training_compute_flop_year,largest_run_concentration,cluster_contiguity_factor,largest_frontier_run_flop,frontier_run_share_of_total_compute,binding_constraint
2027,base_input_case,allocation_training_race,base_input_case × allocation_training_race,4.4004777370668586e+29,0.525,0.31,0.09,0.04,0.015,0.02,2.3102508119601007e+29,1.3641480984907261e+29,3.9604299633601725e+28,1.7601910948267434e+28,6.600716605600288e+27,8.800955474133717e+27,0.7,9.549036689435083e+28,0.2,0.95,1.8143169709926657e+28,0.041229999999999996,capex
2027,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,4.4004777370668586e+29,0.55,0.25,0.13,0.04,0.01,0.02,2.4202627553867725e+29,1.1001194342667146e+29,5.720621058186916e+28,1.7601910948267434e+28,4.4004777370668584e+27,8.800955474133717e+27,0.625,6.875746464166966e+28,0.16,0.875,9.626045049833754e+27,0.021875000000000002,capex
2028,base_input_case,allocation_base,base_input_case × allocation_base,7.344399801517512e+29,0.5833333333333334,0.26,0.09333333333333334,0.04,0.01,0.013333333333333332,4.2842332175518824e+29,1.9095439483945533e+29,6.854773148083012e+28,2.937759920607005e+28,7.344399801517512e+27,9.792533068690016e+27,0.6166666666666667,1.1775521015099747e+29,0.13333333333333336,0.9,1.4130625218119698e+28,0.019240000000000007,capex
2028,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,7.344399801517512e+29,0.65,0.21999999999999997,0.06666666666666667,0.03333333333333333,0.01,0.02,4.773859870986383e+29,1.6157679563338526e+29,4.8962665343450085e+28,2.4481332671725042e+28,7.344399801517512e+27,1.4688799603035024e+28,0.5833333333333334,9.42531307861414e+28,0.09666666666666668,0.85,7.74446557959462e+27,0.010544722222222224,capex
2028,base_input_case,allocation_training_race,base_input_case × allocation_training_race,7.344399801517512e+29,0.5166666666666667,0.31333333333333335,0.09333333333333334,0.04,0.016666666666666666,0.02,3.794606564117382e+29,2.301245271142154e+29,6.854773148083012e+28,2.937759920607005e+28,1.2240666335862521e+28,1.4688799603035024e+28,0.7,1.6108716897995078e+29,0.2,0.95,3.060656210619065e+28,0.04167333333333334,capex
2028,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,7.344399801517512e+29,0.55,0.23333333333333334,0.14666666666666667,0.04,0.01,0.02,4.039419890834632e+29,1.7136932870207528e+29,1.0771786375559018e+29,2.937759920607005e+28,7.344399801517512e+27,1.4688799603035024e+28,0.6166666666666667,1.056777526996131e+29,0.14666666666666667,0.8666666666666667,1.3432816565373043e+28,0.018289876543209876,capex
2029,base_input_case,allocation_base,base_input_case × allocation_base,1.177471161737598e+30,0.5916666666666667,0.25,0.09666666666666668,0.04,0.01,0.011666666666666667,6.966704373614121e+29,2.943677904343995e+29,1.1382221230130115e+29,4.709884646950392e+28,1.177471161737598e+28,1.3737163553605312e+28,0.6083333333333333,1.7907373918092635e+29,0.11666666666666668,0.9,1.880274261399727e+28,0.01596875,capex
2029,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.177471161737598e+30,0.6749999999999999,0.19999999999999998,0.06333333333333332,0.03166666666666666,0.01,0.02,7.947930341728785e+29,2.354942323475196e+29,7.457317357671453e+28,3.7286586788357264e+28,1.177471161737598e+28,2.354942323475196e+28,0.5666666666666667,1.3344673166359443e+29,0.08333333333333334,0.85,9.452476826171274e+27,0.008027777777777778,capex
2029,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.177471161737598e+30,0.5083333333333333,0.31666666666666665,0.09666666666666668,0.04,0.018333333333333333,0.02,5.985478405499456e+29,3.728658678835727e+29,1.1382221230130115e+29,4.709884646950392e+28,2.158697129852263e+28,2.354942323475196e+28,0.7,2.6100610751850085e+29,0.2,0.95,4.9591160428515165e+28,0.04211666666666666,capex
2029,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,1.177471161737598e+30,0.55,0.21666666666666667,0.16333333333333333,0.04,0.01,0.02,6.47609138955679e+29,2.551187517098129e+29,1.9232028975047435e+29,4.709884646950392e+28,1.177471161737598e+28,2.354942323475196e+28,0.6083333333333333,1.551972406234695e+29,0.13333333333333333,0.8583333333333333,1.776146198246373e+28,0.01508441358024691,capex
