allocation_scenario,year,inference_share,training_share,ai_rnd_experiment_share,post_training_share,safety_eval_share,reserved_idle_fragmented_share,frontier_lab_training_share,largest_run_concentration,cluster_contiguity_factor
allocation_rnd_acceleration,2027,0.55,0.25,0.13,0.04,0.01,0.02,0.625,0.16,0.875
allocation_rnd_acceleration,2028,0.55,0.23333333333333334,0.14666666666666667,0.04,0.01,0.02,0.6166666666666667,0.14666666666666667,0.8666666666666667
allocation_rnd_acceleration,2029,0.55,0.21666666666666667,0.16333333333333333,0.04,0.01,0.02,0.6083333333333333,0.13333333333333333,0.8583333333333333
allocation_rnd_acceleration,2030,0.55,0.2,0.18,0.04,0.01,0.02,0.6,0.12,0.85
allocation_rnd_acceleration,2031,0.55,0.198,0.182,0.04,0.01,0.02,0.595,0.11499999999999999,0.845
allocation_rnd_acceleration,2032,0.55,0.196,0.184,0.04,0.01,0.02,0.59,0.11,0.84
allocation_rnd_acceleration,2033,0.55,0.194,0.186,0.04,0.01,0.02,0.585,0.105,0.835
allocation_rnd_acceleration,2034,0.55,0.192,0.188,0.04,0.01,0.02,0.58,0.1,0.83
allocation_rnd_acceleration,2035,0.55,0.19,0.19,0.04,0.01,0.02,0.575,0.095,0.825
allocation_rnd_acceleration,2036,0.55,0.188,0.192,0.04,0.01,0.02,0.5700000000000001,0.09,0.8200000000000001
allocation_rnd_acceleration,2037,0.55,0.186,0.194,0.04,0.01,0.02,0.5650000000000001,0.08499999999999999,0.8150000000000001
allocation_rnd_acceleration,2038,0.55,0.184,0.196,0.04,0.01,0.02,0.56,0.08,0.81
allocation_rnd_acceleration,2039,0.55,0.182,0.198,0.04,0.01,0.02,0.555,0.07500000000000001,0.805
allocation_rnd_acceleration,2040,0.55,0.18,0.2,0.04,0.01,0.02,0.55,0.07,0.8
